item,item_code
"COCA COLA (BOTOL),1.5 liter",228
"COCA COLA (TIN),320ml",1507
"DUTCH LADY UHT COKLAT (KOTAK),200ml",1505
"DUTCH LADY UHT FULL CREAM (KOTAK),200ml",1506
"F&N OREN (BOTOL),1.5 liter",230
"F&N OREN (TIN),325 ml",229
"HORLICKS (PAKET),400g",1402
"KICAP LEMAK MANIS CAP KIPAS UDANG,345ml",214
"KICAP MANIS ADABI,340ml",1135
"KICAP MASIN ADABI,340ml",1136
"KORDIAL SUNQUICK (OREN),840ml",171
"KRIMER MANIS PEKAT CAP SAJI,500g",1953
"KRIMER SEJAT CAP F&N,390g",1952
"MACKAREL CAP AYAM (SOS TOMATO),425g",195
"MAGGI MI SEGERA PERISA KARI, 5 X 79g",1976
"MARJERIN DAISY,240g",1141
"MARJERIN PLANTA,240g",1140
"MARJERIN PLANTA,480g",206
"MENTEGA ANCHOR (SALTED),227g",1615
"MENTEGA KACANG HALUS LADY_S CHOICE,340g",1144
"MI SEDAP MI GORENG PERISA ASLI,5 X 90g",1978
"MILO (PAKET),1kg",1637
"MILO (PAKET),400g",1636
"NESCAFE CLASSIC (PAKET),200g",929
"NESTLE CERELAC BERAS - TIN,500g",1145
"NESTLE COFFEE-MATE,450g",1635
"NESTUM (ORIGINAL),500g",1962
"PERENCAH NASI GORENG IKAN BILIS SERI AJI,26g",1545
"SANTAN KELAPA JENAMA KARA,200ml",1611
"SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425g",1142
"SARDIN CAP AYAM (SOS TOMATO),155g",190
"SARDIN CAP AYAM (SOS TOMATO),425g",191
"SARDIN CAP KING CUP (SOS TOMATO),155g",192
"SARDIN CAP KING CUP (SOS TOMATO),425g",193
"SERBUK KARI AYAM DAN DAGING ADABI,250g",1570
"SERBUK KARI DAGING BABAS,250g",1572
SERBUK KARI IKAN ADABI.250g,1568
"SERBUK KURMA AYAM & DAGING ADABI,250g",1573
"SERBUK KURMA BABAS,125g",1575
"SERBUK NASI GORENG CINA ADABI,17g",1544
"SERBUK PERENCAH SUP ADABI,250g",1577
"SOS CILI KIMBALL,340g",957
"SOS CILI MAGGI,240g",1070
"SOS CILI MAGGI,500g",1097
"SOS TIRAM MAGGI,340g",1138
"SOS TOMATO MAGGI,325g",217
"SUSU TEPUNG SEGERA EVERYDAY,900g",1954
"TEH BOH (UNCANG),100 beg",180
"TEH LIPTON (UNCANG), 100 beg",1650
"TUNA CAP AYAM (TUNA MAYONNAISE),106g",1882
"YEO_S SOYA (KOTAK),250ml",1651
"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g",1955
