item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
AYAM BERSIH - STANDARD,Johor,8.332993364,-0.450768769,9.327719739,8.05533792,1
AYAM BERSIH - STANDARD,Kedah,8.952123198,-0.313883213,9.579889625,8.326370795,1
AYAM BERSIH - STANDARD,Kelantan,8.514279202,-0.382618569,9.357101648,7.766376652,1
AYAM BERSIH - STANDARD,Melaka,8.650522876,-0.380815485,9.412153846,8.340160966,1
AYAM BERSIH - STANDARD,Negeri Sembilan,8.597480818,-0.314437222,9.304479167,8.379199085,1
AYAM BERSIH - STANDARD,Pahang,8.563669098,-0.403307653,9.386674221,8.02495314,1
AYAM BERSIH - STANDARD,Perak,8.889499541,-0.294588604,9.478676749,8.424301075,1
AYAM BERSIH - STANDARD,Perlis,8.946544118,-0.405448871,9.75744186,7.949933185,1
AYAM BERSIH - STANDARD,Pulau Pinang,9.281257015,-0.238026315,9.757309645,8.602292788,1
AYAM BERSIH - STANDARD,Sabah,12.6061745,0.063087248,12.68516908,10.71015873,1
AYAM BERSIH - STANDARD,Sarawak,10.93825623,-0.031636592,11.30920578,9.231984925,1
AYAM BERSIH - STANDARD,Selangor,8.73280203,-0.383401751,9.499605533,8.365038265,1
AYAM BERSIH - STANDARD,Terengganu,8.837684401,-0.400028429,9.637741259,8.16860252,1
AYAM BERSIH - STANDARD,W.P. Kuala Lumpur,8.709687646,-0.337590757,9.384869159,8.432291994,1
AYAM BERSIH - STANDARD,W.P. Labuan,12.50344828,-0.002963362,12.52830189,10.678125,1
AYAM BERSIH - STANDARD,W.P. Putrajaya,8.626744186,-0.369505458,9.365755102,8.135400844,1
BAWANG BESAR IMPORT (INDIA),Johor,5.349932573,-0.150951176,8.234256506,2.79,1
BAWANG BESAR IMPORT (INDIA),Kedah,5.451359223,-0.092585875,9.582015504,3.036611498,1
BAWANG BESAR IMPORT (INDIA),Kelantan,5.537735043,-0.152531408,8.49888,3.008768529,1
BAWANG BESAR IMPORT (INDIA),Melaka,5.686055684,-0.014765454,7.840465116,2.998096192,1
BAWANG BESAR IMPORT (INDIA),Negeri Sembilan,5.58391844,-0.064219124,8.777040816,2.677697368,1
BAWANG BESAR IMPORT (INDIA),Pahang,5.758637771,-0.156143118,8.682930649,3.215539135,1
BAWANG BESAR IMPORT (INDIA),Perak,5.358828729,-0.037276608,8.138510638,2.9098322,1
BAWANG BESAR IMPORT (INDIA),Perlis,6.015581395,0.080159119,9.552459016,3.504692483,1
BAWANG BESAR IMPORT (INDIA),Pulau Pinang,5.644022989,-0.037640328,8.436605166,3.110637771,1
BAWANG BESAR IMPORT (INDIA),Sabah,6.56954039,-0.072685472,6.714911334,5.078912338,1
BAWANG BESAR IMPORT (INDIA),Sarawak,5.987493427,-0.194449804,6.904915825,4.392153038,1
BAWANG BESAR IMPORT (INDIA),Selangor,5.400759398,-0.090432045,7.924265403,2.678595213,1
BAWANG BESAR IMPORT (INDIA),Terengganu,5.670486224,-0.28600926,8.522913386,3.049113597,1
BAWANG BESAR IMPORT (INDIA),W.P. Kuala Lumpur,5.653730846,-0.003808369,8.688287293,2.789131925,1
BAWANG BESAR IMPORT (INDIA),W.P. Labuan,6.568421053,-0.072712551,6.927088123,4.551207729,1
BAWANG BESAR IMPORT (INDIA),W.P. Putrajaya,6.484486692,0.01566876,9.166419753,2.901972477,1
BAWANG BESAR KUNING OR HOLLAND,Johor,4.445241882,-0.079780338,5.171134021,3.81295325,1
BAWANG BESAR KUNING OR HOLLAND,Kedah,5.228512048,-0.036441173,5.6257,4.005119617,1
BAWANG BESAR KUNING OR HOLLAND,Kelantan,5.102991159,-0.009808768,5.793345455,3.674606516,1
BAWANG BESAR KUNING OR HOLLAND,Melaka,4.937303371,-0.107257406,5.501353965,3.99719403,1
BAWANG BESAR KUNING OR HOLLAND,Negeri Sembilan,4.841214374,-0.165672654,5.68965866,3.671698974,1
