date,state,price,is_anomaly
2022-01,Sabah,10.716578947368422,0
2022-02,Sabah,10.720309278350516,0
2022-03,Sabah,10.71015873015873,0
2022-04,Sabah,10.719767441860466,0
2022-05,Sabah,10.715530303030304,0
2022-06,Sabah,10.722324159021404,0
2022-07,Sabah,11.170609318996414,0
2022-08,Sabah,11.227460317460316,0
2022-09,Sabah,11.23232824427481,0
2022-10,Sabah,11.237611940298509,0
2022-11,Sabah,11.237916666666669,0
2022-12,Sabah,11.324145454545452,0
2023-01,Sabah,11.355852534562214,0
2023-02,Sabah,11.510538116591926,0
2023-03,Sabah,11.27191056910569,0
2023-04,Sabah,11.28440476190476,0
2023-05,Sabah,11.299918699186993,0
2023-06,Sabah,11.29877192982456,0
2023-07,Sabah,11.29816037735849,0
2023-08,Sabah,11.29324324324324,0
2023-09,Sabah,11.296226415094337,0
2023-10,Sabah,11.29747422680412,0
2023-11,Sabah,11.591666666666663,0
2023-12,Sabah,11.982605633802816,0
2024-01,Sabah,12.194396135265702,0
2024-02,Sabah,12.393778801843316,0
2024-03,Sabah,12.685169082125606,1
2024-04,Sabah,12.635372340425532,1
2024-05,Sabah,12.531608391608392,1
2024-06,Sabah,12.48,1
2024-07,Sabah,12.606174496644297,1
