date,state,price,is_anomaly
2022-01,Negeri Sembilan,3.916912181303117,0
2022-02,Negeri Sembilan,3.7214453125,0
2022-03,Negeri Sembilan,3.681111111111111,0
2022-04,Negeri Sembilan,3.536396946564886,0
2022-05,Negeri Sembilan,3.306127946127946,0
2022-06,Negeri Sembilan,3.1913005780346824,0
2022-07,Negeri Sembilan,3.1643887147335423,0
2022-08,Negeri Sembilan,3.1397697841726617,0
2022-09,Negeri Sembilan,3.178882082695253,0
2022-10,Negeri Sembilan,3.1998797250859106,0
2022-11,Negeri Sembilan,3.442894736842105,0
2022-12,Negeri Sembilan,3.923506493506493,0
2023-01,Negeri Sembilan,3.752082551594747,0
2023-02,Negeri Sembilan,3.3136106194690265,0
2023-03,Negeri Sembilan,2.797871485943775,0
2023-04,Negeri Sembilan,2.703949329359165,0
2023-05,Negeri Sembilan,2.694404973357016,0
2023-06,Negeri Sembilan,2.6776973684210525,0
2023-07,Negeri Sembilan,2.8651404494382025,0
2023-08,Negeri Sembilan,2.9941967213114755,0
2023-09,Negeri Sembilan,3.5909045226130663,0
2023-10,Negeri Sembilan,4.016463878326996,0
2023-11,Negeri Sembilan,4.456462395543175,0
2023-12,Negeri Sembilan,5.763384615384616,0
2024-01,Negeri Sembilan,7.509880668257757,1
2024-02,Negeri Sembilan,7.954939024390245,1
2024-03,Negeri Sembilan,8.77704081632653,1
2024-04,Negeri Sembilan,7.609166666666667,1
2024-05,Negeri Sembilan,7.581473684210526,1
2024-06,Negeri Sembilan,5.712356687898089,0
2024-07,Negeri Sembilan,5.583918439716312,0
